layer,feature_id,bet_range_risky,bet_range_safe,stop_range_risky,stop_range_safe,spearman_bet_risky,spearman_bet_safe,spearman_stop_risky,spearman_stop_safe,invalid_rate_risky,invalid_rate_safe,valid_trials_risky,valid_trials_safe
30,16039,10.167,29.500,0.267,0.200,0.071,-0.595,-0.198,0.074,0.000,0.000,210,210
30,22493,10.500,17.500,0.267,0.267,-0.500,0.000,0.218,-0.234,0.000,0.000,210,210
30,18100,11.767,17.167,0.300,0.200,0.643,-0.214,0.342,-0.360,0.000,0.000,210,210
30,14031,12.667,22.167,0.367,0.200,-0.321,0.613,0.593,-0.782,0.000,0.000,210,210
30,20813,14.333,27.000,0.233,0.267,0.750,-0.357,-0.667,0.649,0.000,0.000,210,210
30,16880,12.833,32.833,0.233,0.133,0.321,0.071,-0.811,-0.217,0.000,0.000,210,210
30,23297,13.933,18.667,0.267,0.167,0.500,0.357,0.144,0.487,0.000,0.000,210,210
30,32322,7.833,15.167,0.200,0.200,-0.357,0.429,0.334,-0.018,0.000,0.000,210,210
25,20014,10.333,20.000,0.233,0.233,0.252,0.036,-0.036,0.337,0.000,0.000,210,210
25,25768,16.500,26.833,0.233,0.267,-0.071,-0.357,-0.618,0.234,0.000,0.000,210,210
30,12025,12.833,21.500,0.300,0.233,-0.107,0.321,0.315,-0.321,0.000,0.000,210,210
30,32617,12.367,24.167,0.200,0.267,0.857,-0.250,-0.599,0.334,0.000,0.000,210,210
30,9265,13.167,14.333,0.233,0.267,-0.577,0.071,0.109,0.079,0.000,0.000,210,210
30,22781,8.833,20.167,0.367,0.167,-0.250,0.054,0.148,-0.482,0.000,0.000,210,210
30,19838,16.000,21.000,0.133,0.267,0.214,0.714,0.275,-0.327,0.000,0.000,210,210
30,29192,13.500,23.333,0.300,0.200,-0.143,0.714,0.055,-0.453,0.000,0.000,210,210
30,21849,12.500,18.833,0.367,0.200,-0.429,0.536,0.198,-0.739,0.000,0.000,210,210
30,29934,10.667,18.000,0.300,0.233,0.214,-0.071,-0.218,-0.071,0.000,0.000,210,210
25,8089,13.000,38.667,0.167,0.233,0.000,0.429,-0.455,0.000,0.000,0.000,210,210
30,15078,10.500,19.667,0.133,0.200,0.107,-0.357,-0.327,0.491,0.000,0.000,210,210
25,5774,28.167,25.167,0.433,0.200,-0.179,0.393,0.432,-0.342,0.000,0.000,210,210
25,14370,22.500,26.000,0.333,0.233,0.143,-0.107,-0.234,-0.180,0.000,0.000,210,210
25,31622,12.167,21.667,0.300,0.233,0.179,-0.703,0.126,-0.036,0.000,0.000,210,210
25,2552,8.833,29.667,0.167,0.233,0.527,0.464,-0.275,0.000,0.000,0.000,210,210
30,28729,13.167,18.667,0.167,0.133,-0.679,-0.393,0.164,-0.243,0.000,0.000,210,210
30,15297,9.167,17.333,0.167,0.167,0.500,0.143,0.000,0.324,0.000,0.000,210,210
25,14875,15.500,20.000,0.200,0.233,-0.357,-0.214,0.327,0.216,0.000,0.000,210,210
30,9033,14.000,33.667,0.333,0.200,0.286,-0.393,-0.162,-0.234,0.000,0.000,210,210
25,25408,20.500,32.500,0.333,0.200,-0.464,0.595,0.334,-0.775,0.000,0.000,210,210
25,12008,9.000,20.500,0.233,0.267,-0.429,-0.429,-0.546,0.630,0.000,0.000,210,210
