condition,n,bankruptcy_rate,composite,i_ev,i_lc,i_eb
fixed_BASE,50,2.0,0.0152,0.018,0.006666666666666666,0.02
fixed_G,50,0.0,0.107,0.26,0.01,0.0
fixed_M,50,4.0,0.0323,0.042,0.006666666666666666,0.045
fixed_R,50,2.0,0.022400000000000003,0.026000000000000002,0.0,0.04
fixed_W,50,18.0,0.1154,0.08599999999999998,0.04,0.23
fixed_P,50,20.0,0.15566428571428573,0.188,0.09738095238095237,0.1708333333333333
fixed_GM,50,4.0,0.10651428571428573,0.23399999999999999,0.03619047619047619,0.006857142857142857
fixed_GR,50,0.0,0.1072,0.26799999999999996,0.0,0.0
fixed_GW,50,2.0,0.1489,0.33599999999999997,0.013333333333333332,0.035
fixed_GP,50,6.0,0.15035714285714288,0.3,0.04285714285714286,0.05833333333333333
fixed_MR,50,0.0,0.013600000000000001,0.034,0.0,0.0
fixed_MW,50,24.0,0.1796,0.134,0.13,0.29
fixed_MP,50,24.0,0.28454761904761905,0.292,0.24833333333333332,0.3108253968253968
fixed_RW,50,8.0,0.07280000000000002,0.08199999999999999,0.03,0.10333333333333332
fixed_RP,50,28.000000000000004,0.2423214285714286,0.284,0.19149999999999998,0.2375714285714286
fixed_WP,50,26.0,0.2446142857142857,0.28,0.21971428571428572,0.22233333333333336
fixed_GMR,50,10.0,0.15740259740259743,0.298,0.04933333333333333,0.078008658008658
fixed_GMW,50,4.0,0.13735,0.28600000000000003,0.04066666666666666,0.03583333333333333
fixed_GMP,50,4.0,0.15921428571428575,0.3,0.06904761904761904,0.06166666666666666
fixed_GRW,50,4.0,0.1507,0.33799999999999997,0.006666666666666666,0.045
fixed_GRP,50,16.0,0.19706391941391943,0.36800000000000005,0.03328449328449328,0.13292857142857142
fixed_GWP,50,8.0,0.1443809523809524,0.29200000000000004,0.01955555555555556,0.07238095238095238
fixed_MRW,50,6.0,0.08200000000000002,0.1,0.0,0.14
fixed_MRP,50,32.0,0.26473571428571424,0.326,0.19995238095238094,0.24783333333333332
fixed_MWP,50,34.0,0.35345898513251456,0.48,0.34240231990231984,0.1957942972060619
fixed_RWP,50,32.0,0.29925238095238094,0.36400000000000005,0.30088095238095236,0.2112936507936508
fixed_GMRW,50,2.0,0.1649727272727273,0.35,0.05399999999999999,0.02924242424242424
fixed_GMRP,50,10.0,0.23130533545401966,0.43800000000000006,0.10112218045112784,0.0858956043956044
fixed_GMWP,50,12.0,0.23351459899749372,0.4260000000000001,0.08041269841269841,0.129969298245614
fixed_GRWP,50,8.0,0.22177307692307696,0.4699999999999999,0.06345787545787546,0.04911904761904761
fixed_MRWP,50,42.0,0.3760995781995782,0.47200000000000003,0.3539731379731379,0.2703587893587894
fixed_GMRWP,50,18.0,0.25324355354790135,0.442,0.1190995670995671,0.13571227806010414
variable_BASE,50,0.0,0.012600000000000002,0.024000000000000004,0.01,0.0
variable_G,50,4.0,0.2452152173913043,0.38400000000000006,0.2882173913043478,0.017166666666666667
variable_M,50,4.0,0.0545,0.06000000000000001,0.026666666666666665,0.075
variable_R,50,14.000000000000002,0.0786,0.07400000000000001,0.04666666666666666,0.11666666666666665
variable_W,50,4.0,0.07020000000000001,0.05800000000000001,0.09,0.06666666666666667
variable_P,50,26.0,0.21350000000000005,0.20199999999999999,0.17,0.2723333333333333
variable_GM,50,30.0,0.3535536796536796,0.43,0.4372575757575758,0.16792135642135642
variable_GR,50,6.0,0.2875071428571429,0.38400000000000006,0.4063333333333333,0.040023809523809524
variable_GW,50,10.0,0.3166577922077922,0.45399999999999996,0.41438095238095235,0.035811688311688315
variable_GP,50,12.0,0.30588095238095236,0.45400000000000007,0.3310079365079365,0.08326190476190476
variable_MR,50,10.0,0.07045714285714286,0.10399999999999998,0.028333333333333332,0.06785714285714285
variable_MW,50,26.0,0.18385714285714286,0.16400000000000003,0.255,0.13919047619047617
variable_MP,50,54.0,0.30874761904761905,0.248,0.2827777777777778,0.4157142857142857
variable_RW,50,14.000000000000002,0.10017857142857142,0.11599999999999999,0.07990476190476191,0.09935714285714285
variable_RP,50,28.000000000000004,0.24920714285714285,0.276,0.23285714285714285,0.22983333333333333
variable_WP,50,46.0,0.30119999999999997,0.21599999999999997,0.26066666666666666,0.4553333333333333
variable_GMR,50,28.000000000000004,0.3627078171828171,0.556,0.24698124098124097,0.220711482961483
variable_GMW,50,28.000000000000004,0.4253947718772579,0.6659999999999999,0.382403435274403,0.14757913764978983
variable_GMP,50,44.0,0.3673378787878787,0.43999999999999995,0.36315295815295817,0.27463997113997113
variable_GRW,50,12.0,0.3086010822510823,0.46,0.3548997113997114,0.06043722943722944
variable_GRP,50,22.0,0.3566153679653679,0.45,0.39733694083694077,0.1913809523809524
variable_GWP,50,22.0,0.36727330316742085,0.46799999999999997,0.4082455648926237,0.191998778998779
variable_MRW,50,18.0,0.1466166666666667,0.162,0.1605,0.11222222222222221
variable_MRP,50,34.0,0.29538424908424904,0.35800000000000004,0.23307936507936508,0.27420146520146516
variable_MWP,50,62.0,0.3383523809523809,0.272,0.25746031746031744,0.5077142857142857
variable_RWP,50,66.0,0.32174285714285716,0.254,0.21423809523809523,0.5195714285714286
variable_GMRW,50,44.0,0.37142101232101227,0.49199999999999994,0.38575624375624373,0.19631379731379733
variable_GMRP,50,64.0,0.4002428883294208,0.514,0.23352686202686204,0.4152827657378741
variable_GMWP,50,56.00000000000001,0.40266332176595326,0.528,0.360794936058094,0.27741613649508384
variable_GRWP,50,34.0,0.374545670995671,0.49200000000000005,0.31377922077922077,0.2787063492063492
variable_MRWP,50,56.00000000000001,0.341371645021645,0.364,0.22524603174603175,0.4273261183261184
variable_GMRWP,50,52.0,0.3482166666666667,0.42599999999999993,0.22353968253968254,0.36918253968253956
