word,idf,specificity
history,3.5240955179853093,high
120,1.2687633098418092,low
win,1.260731138144545,low
130,1.260731138144545,low
your,1.252762968495368,low
machine,1.252762968495368,low
current,1.252762968495368,low
slot,1.2292324710851739,low
won,1.176389989710794,low
lost,1.1617911902896414,low
choose,1.154570942316154,low
loss,1.0717650386319217,low
game,1.0651643546005696,low
balance,0.8686890503685212,low
bet,0.8109302162163288,low
amount,0.7660348963084379,low
choice,0.756326082181477,low
first,0.7045498126577571,low
100,0.6685098761745601,low
result,0.6685098761745601,low
round,0.6553228718926063,low
stop,0.4295626596872249,low
