feature,layer,feature_id,delta_bankruptcy_safe,delta_bankruptcy_risky,baseline_bankruptcy_rate,balance_mean,balance_max,goal_mean,goal_max,probability_mean,probability_max,choice_mean,choice_max,dominant_position,dominant_activation
L31-12810,31,12810,-0.2666666666666666,-0.1333333333333333,0.6333333333333333,0.0,0.0,0.23348825871944429,0.39782315492630005,0.0,0.0,0.0,0.0,goal,0.23348825871944429
L31-14374,31,14374,-0.1666666666666666,-0.0333333333333333,0.5666666666666667,0.0,0.0,0.17756917774677278,0.31467705965042114,0.20015462040901183,0.46801286935806274,0.07869391143321991,0.1657056212425232,probability,0.20015462040901183
L31-14913,31,14913,-0.1666666666666666,-0.0333333333333333,0.5666666666666667,0.02653583139181137,0.180307537317276,0.1448076084256172,0.31813570857048035,0.09365255832672119,0.47944724559783936,0.1528416767716408,0.2386021614074707,choice,0.1528416767716408
L31-20466,31,20466,-0.1666666666666666,-0.1999999999999999,0.7333333333333333,0.01102132648229599,0.08233781158924103,0.30031604766845704,0.4011940360069275,0.04487993493676186,0.12702685594558716,0.0,0.0,goal,0.30031604766845704
L31-28105,31,28105,-0.1666666666666666,-0.0333333333333333,0.5333333333333333,0.16667343378067018,0.9485546350479126,0.2340795576572418,0.3646237850189209,0.10354716330766678,0.35602807998657227,0.1425217166543007,0.21561390161514282,goal,0.2340795576572418
L31-17787,31,17787,-0.0999999999999999,-0.0666666666666666,0.6,0.5162927865982055,0.8886277675628662,1.4909290552139283,1.7764372825622559,0.3989523470401764,0.6238300204277039,1.7643838047981262,2.064364969730377,choice,1.7643838047981262
L31-27952,31,27952,-0.0999999999999999,0.0333333333333333,0.5,0.005553111433982849,0.05553111433982849,0.05756390392780304,0.19632583856582642,0.018141293525695802,0.181412935256958,0.3222884476184845,0.37946853041648865,choice,0.3222884476184845
L31-27388,31,27388,-0.0999999999999999,0.0,0.5,0.9189514048397541,2.4822702407836914,0.010054834932088853,0.10054834932088852,0.7125120639801026,2.1965532302856445,1.6193037271499633,1.71592116355896,choice,1.6193037271499633
L31-792,31,792,-0.0666666666666667,0.1666666666666666,0.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.025070171058177947,0.05225604772567749,choice,0.025070171058177947
L31-11256,31,11256,-0.0666666666666666,-0.2666666666666666,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balance,0.0
