prompt,n_experiments,bankrupt_rate,avg_rounds,risk_increase,chi2_p_value,t_p_value,cohens_d,significant_bankruptcy,significant_rounds
GRW,20,0.55,18.0,0.20000000000000007,0.34035574238519883,0.7401725885388051,0.10563835440161681,False,False
GMRWP,20,0.45,23.35,0.10000000000000003,0.746885633390364,0.19199323489858375,0.4200537064492477,False,False
MR,20,0.35,19.4,0.0,1.0,0.5260164581129716,0.20238399547034883,False,False
GMRP,20,0.4,20.85,0.050000000000000044,1.0,0.3474107542205165,0.30086106306386284,False,False
MP,20,0.35,13.3,0.0,1.0,0.49339514619768743,-0.21870185008218135,False,False
P,20,0.45,12.85,0.10000000000000003,0.746885633390364,0.33428963170844395,-0.30925146654486774,False,False
GM,20,0.55,22.4,0.20000000000000007,0.34035574238519883,0.25832584729123564,0.3628888595714222,False,False
GR,20,0.45,29.45,0.10000000000000003,0.746885633390364,0.020851975493589518,0.7624217608447963,False,True
GMWP,20,0.4,19.6,0.050000000000000044,1.0,0.544792335749925,0.19323689255753498,False,False
RP,20,0.4,16.25,0.050000000000000044,1.0,0.9636755820450287,-0.014496780665394917,False,False
G,20,0.4,19.55,0.050000000000000044,1.0,0.5277203885782322,0.20154687172775113,False,False
MRWP,20,0.45,15.2,0.10000000000000003,0.746885633390364,0.7628828334242967,-0.09609289094149485,False,False
W,20,0.45,22.95,0.10000000000000003,0.746885633390364,0.13905655842237605,0.47782493778574814,False,False
GW,20,0.35,24.85,0.0,1.0,0.11142820437590949,0.5153557996354742,False,False
RWP,20,0.4,23.65,0.050000000000000044,1.0,0.14351820666173512,0.47234164667067885,False,False
GMW,20,0.45,19.95,0.10000000000000003,0.746885633390364,0.5019084677149577,0.21438783588624868,False,False
MRW,20,0.25,16.2,-0.09999999999999998,0.7300697275800421,0.9569677658757851,-0.017176308058775767,False,False
MRP,20,0.3,21.8,-0.04999999999999999,1.0,0.260494734129221,0.3612125407833023,False,False
R,20,0.25,22.3,-0.09999999999999998,0.7300697275800421,0.26176233080141675,0.36023746926511513,False,False
GRWP,20,0.4,26.9,0.050000000000000044,1.0,0.04580876392405235,0.6529656040244719,False,True
GP,20,0.6,26.2,0.25,0.20533585624019302,0.05721831360318626,0.6201744983338133,False,False
GWP,20,0.1,27.85,-0.24999999999999997,0.12988262887648022,0.041403847487409474,0.6675708648081311,False,True
WP,20,0.25,24.9,-0.09999999999999998,0.7300697275800421,0.11282743422536144,0.513282253900281,False,False
MWP,20,0.4,17.3,0.050000000000000044,1.0,0.8372122994788269,0.06541951442190011,False,False
MW,20,0.45,8.45,0.10000000000000003,0.746885633390364,0.02795186515247429,-0.722736458588909,False,True
GRP,20,0.3,18.35,-0.04999999999999999,1.0,0.6826898825312004,0.13027037938423497,False,False
RW,20,0.4,15.45,0.050000000000000044,1.0,0.8354010947251403,-0.06615831090879509,False,False
GMP,20,0.3,17.35,-0.04999999999999999,1.0,0.854389420117522,0.05843047258450773,False,False
M,20,0.25,20.2,-0.09999999999999998,0.7300697275800421,0.44336872714079945,0.24495034944203442,False,False
GMR,20,0.25,22.45,-0.09999999999999998,0.7300697275800421,0.3093214324561777,0.3258512385148256,False,False
GMRW,20,0.4,18.2,0.050000000000000044,1.0,0.7152435498695413,0.11623144365965891,False,False
all,640,0.378125,20.0609375,0.02812500000000001,0.9830107231529236,0.330959204210458,0.22092067533357082,False,False
